1616,821,-1
1620,1546,1
247,233,-1
26,53,-1
1605,1538,1
1554,1586,1
1523,1568,1
71,228,1
122,90,-1
1554,1552,1
71,100,-1
1616,1620,1
1523,1619,1
1616,1573,-1
1557,1544,1
1523,147,-1
2,1598,-1
1557,317,-1
226,178,1
1570,1555,1
1554,1616,-1
1523,148,-1
1620,253,-1
61,154,-1
1616,1546,1
122,48,-1
1568,64,-1
1570,214,-1
61,60,1
1524,1575,1
1523,145,-1
1570,132,-1
226,1610,-1
22,824,-1
247,85,1
1524,166,-1
1606,1591,-1
1566,1532,1
122,170,1
1523,1555,1
1552,1577,-1
2,94,1
1555,258,-1
1598,1585,1
146,840,-1
1606,1553,1
123,215,1
183,1,1
146,170,1
26,98,1
256,231,-1
1570,223,-1
22,48,1
1570,1584,-1
1570,1619,1
1568,1619,1
1598,294,-1
256,228,1
123,155,-1
1555,1619,1
183,1566,-1
1570,1523,1
40,99,-1
122,146,1
40,20,1
1554,27,-1
1605,146,-1
1568,1555,1
71,145,-1
71,256,1
1568,160,-1
1552,1586,1
1566,1546,-1
1570,1568,1
