1619,866,-1
1523,311,-1
1598,1585,1
1620,1579,-1
2,255,-1
122,174,-1
1570,1555,1
1605,1538,1
1620,1546,1
1544,1557,1
1552,1554,1
1524,1575,1
1606,206,-1
98,1554,-1
247,85,1
1568,1541,-1
48,113,-1
40,20,1
228,1531,-1
1523,1555,1
1598,1569,-1
71,256,1
178,226,1
1,183,1
1586,1554,1
1616,1609,-1
1552,242,-1
98,26,1
71,343,-1
1586,169,-1
1523,1570,1
215,123,1
1568,1555,1
48,22,1
1619,1523,1
146,122,1
1524,1590,-1
1605,51,-1
146,170,1
1568,1523,1
1619,1555,1
1566,1529,-1
1616,255,-1
1568,1582,-1
40,31,-1
178,1590,-1
1552,1586,1
215,229,-1
1523,180,-1
228,256,1
1606,1553,1
61,313,-1
1566,1532,1
247,70,-1
1552,1621,-1
1619,858,-1
1619,1570,1
1568,1570,1
1619,818,-1
146,857,-1
122,170,1
1,236,-1
71,312,-1
1570,59,-1
1544,1560,-1
1616,1546,1
146,292,-1
61,60,1
1568,75,-1
1616,1620,1
1568,274,-1
2,94,1
1568,1619,1
71,228,1
